"filename", "language", "C#", "JSON", "Markdown", "comment", "blank", "total"
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Content\Mecha\acting\dash_slay.cs", "C#", 11, 0, 0, 0, 3, 14
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Content\Mecha\acting\if_target_distance_less_than.cs", "C#", 21, 0, 0, 0, 4, 25
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Content\Mecha\acting\point_001.cs", "C#", 42, 0, 0, 1, 13, 56
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Content\Mecha\acting\search_point_001_for_jump_out.cs", "C#", 36, 0, 0, 4, 12, 52
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Content\Mecha\ai\ai_SS1.cs", "C#", 4, 0, 0, 35, 0, 39
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Content\Mecha\ai\ai_aim.cs", "C#", 4, 0, 0, 62, 0, 66
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Content\Mecha\ai\ai_burst.cs", "C#", 4, 0, 0, 39, 0, 43
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Content\Mecha\ai\ai_charge.cs", "C#", 1, 0, 0, 21, 0, 22
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Content\Mecha\ai\ai_dash.cs", "C#", 4, 0, 0, 63, 0, 67
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Content\Mecha\ai\ai_dash_slash.cs", "C#", 4, 0, 0, 28, 1, 33
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Content\Mecha\ai\ai_jump_away.cs", "C#", 4, 0, 0, 29, 1, 34
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Content\Mecha\ai\if_target_approach_rappidly.cs", "C#", 4, 0, 0, 34, 1, 39
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Content\Mecha\ai\mecha_aim_alternative.cs", "C#", 4, 0, 0, 67, 0, 71
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Content\Mecha\dash_slay.cs", "C#", 52, 0, 0, 1, 13, 66
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Content\Mecha\jump_away.cs", "C#", 43, 0, 0, 49, 15, 107
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Content\Mecha\mecha_buster.cs", "C#", 103, 0, 0, 5, 21, 129
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Content\Mecha\mecha_eye.cs", "C#", 18, 0, 0, 0, 3, 21
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Content\Mecha\mecha_sleep.cs", "C#", 137, 0, 0, 3, 37, 177
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Content\Mecha\mecha_sword.cs", "C#", 29, 0, 0, 0, 5, 34
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Content\Mecha\plasma\PlasmaDisolveAuthor.cs", "C#", 12, 0, 0, 0, 2, 14
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Content\Mecha\plasma\plasma_disolve.cs", "C#", 15, 0, 0, 0, 6, 21
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Content\Mecha\react\react_explosion.cs", "C#", 49, 0, 0, 0, 14, 63
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Content\Mecha\stun.cs", "C#", 30, 0, 0, 0, 7, 37
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Editor\Camera\CameraShotCreator.cs", "C#", 100, 0, 0, 1, 21, 122
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Editor\Skin\AniExtGenerator.cs", "C#", 121, 0, 0, 9, 20, 150
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Editor\Skin\SlashSkinPathWriterEditor.cs", "C#", 144, 0, 0, 3, 27, 174
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Editor\Triheroes.Editor.asmdef", "JSON", 0, 20, 0, 0, 0, 20
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Element\Character\SkinHitBoxAuthor.cs", "C#", 25, 0, 0, 0, 9, 34
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Element\Character\hitbox.cs", "C#", 47, 0, 0, 0, 14, 61
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Element\Character\skin.cs", "C#", 3, 0, 0, 14, 1, 18
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Element\Character\xenos.cs", "C#", 71, 0, 0, 3, 18, 92
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Element\ElementAuthor.cs", "C#", 7, 0, 0, 13, 2, 22
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Element\Ground\GroundAuthor.cs", "C#", 25, 0, 0, 0, 3, 28
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Element\Ground\terra.cs", "C#", 49, 0, 0, 0, 12, 61
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Element\matter.cs", "C#", 77, 0, 0, 0, 22, 99
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Element\matter\flesh.cs", "C#", 8, 0, 0, 0, 1, 9
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Element\matter\metal.cs", "C#", 31, 0, 0, 0, 9, 40
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Equip\Inventory0\Inv0SkinAuthor.cs", "C#", 15, 0, 0, 0, 2, 17
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Equip\Inventory0\draw_weapon.cs", "C#", 71, 0, 0, 0, 18, 89
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Equip\Inventory0\inv0.cs", "C#", 106, 0, 0, 0, 16, 122
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Equip\Inventory0\return_weapon.cs", "C#", 57, 0, 0, 0, 17, 74
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Equip\equip.cs", "C#", 28, 0, 0, 0, 9, 37
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Equip\inventory.cs", "C#", 18, 0, 0, 0, 4, 22
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Ground\Acting\dash.cs", "C#", 16, 0, 0, 0, 5, 21
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Ground\Acting\jump_away.cs", "C#", 9, 0, 0, 0, 2, 11
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Ground\Acting\look.cs", "C#", 26, 0, 0, 0, 9, 35
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Ground\Acting\look_target.cs", "C#", 17, 0, 0, 0, 4, 21
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Ground\Acting\move.cs", "C#", 21, 0, 0, 0, 5, 26
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Ground\Acting\move_around_target.cs", "C#", 52, 0, 0, 0, 15, 67
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Ground\Acting\move_to.cs", "C#", 44, 0, 0, 0, 10, 54
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Ground\Acting\move_to_target.cs", "C#", 23, 0, 0, 0, 4, 27
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Ground\Dash\backflip.cs", "C#", 30, 0, 0, 0, 9, 39
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Ground\Dash\dash.cs", "C#", 46, 0, 0, 0, 15, 61
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Ground\Dash\dash_core.cs", "C#", 79, 0, 0, 0, 22, 101
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Ground\Hook\hooked.cs", "C#", 21, 0, 0, 46, 5, 72
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Ground\Hook\knocked_out.cs", "C#", 7, 0, 0, 146, 3, 156
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Ground\fall.cs", "C#", 74, 0, 0, 2, 15, 91
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Ground\footstep.cs", "C#", 51, 0, 0, 6, 11, 68
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Ground\jump.cs", "C#", 37, 0, 0, 0, 12, 49
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Ground\lateral.cs", "C#", 91, 0, 0, 3, 16, 110
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Ground\move.cs", "C#", 132, 0, 0, 7, 31, 170
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Ground\move_point.cs", "C#", 49, 0, 0, 2, 14, 65
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Ground\react_fall.cs", "C#", 55, 0, 0, 0, 12, 67
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Ground\stand.cs", "C#", 31, 0, 0, 3, 6, 40
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Interest\interest.cs", "C#", 30, 0, 0, 0, 7, 37
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Interface\Debug\script_debugger.cs", "C#", 14, 0, 0, 0, 2, 16
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Interface\GraphicElement\full_overlay.cs", "C#", 49, 0, 0, 0, 10, 59
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Interface\GraphicElement\graphic_element.cs", "C#", 17, 0, 0, 0, 1, 18
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Interface\InterfaceWriter.cs", "C#", 19, 0, 0, 0, 3, 22
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Interface\PlayerHud\character_label.cs", "C#", 31, 0, 0, 0, 12, 43
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Interface\PlayerHud\player_hud.cs", "C#", 49, 0, 0, 0, 12, 61
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Interface\PlayerHud\prompt.cs", "C#", 31, 0, 0, 0, 10, 41
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Interface\StatHud\ArmorGraphic.cs", "C#", 1, 0, 0, 175, 0, 176
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Interface\StatHud\HeartGraphic.cs", "C#", 7, 0, 0, 82, 2, 91
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Interface\StatHud\StaminaGraphic.cs", "C#", 6, 0, 0, 38, 1, 45
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Interface\StatHud\UILayer.cs", "C#", 124, 0, 0, 36, 36, 196
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Interface\StatHud\armor_hud.cs", "C#", 3, 0, 0, 68, 0, 71
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Interface\StatHud\health_hud.cs", "C#", 70, 0, 0, 0, 20, 90
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Interface\StatHud\life_hud.cs", "C#", 3, 0, 0, 168, 0, 171
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Interface\StatHud\stamina_hud.cs", "C#", 6, 0, 0, 89, 1, 96
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Interface\ui.cs", "C#", 27, 0, 0, 0, 5, 32
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Kinematic\AxealAuthor.cs", "C#", 57, 0, 0, 1, 12, 70
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Kinematic\axeal.cs", "C#", 91, 0, 0, 5, 29, 125
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Kinematic\capsule.cs", "C#", 46, 0, 0, 0, 10, 56
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Kinematic\curve.cs", "C#", 47, 0, 0, 1, 10, 58
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Kinematic\gravity.cs", "C#", 32, 0, 0, 2, 10, 44
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Kinematic\ground_detection.cs", "C#", 33, 0, 0, 0, 8, 41
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Player\Camera\CameraWriter.cs", "C#", 15, 0, 0, 0, 2, 17
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Player\Camera\camera.cs", "C#", 110, 0, 0, 3, 22, 135
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Player\Camera\hit_pause.cs", "C#", 38, 0, 0, 0, 6, 44
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Player\Camera\shake_camera.cs", "C#", 5, 0, 0, 0, 1, 6
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Player\Camera\subject.cs", "C#", 28, 0, 0, 1, 3, 32
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Player\Camera\target.cs", "C#", 44, 0, 0, 2, 10, 56
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Player\Camera\tps.cs", "C#", 21, 0, 0, 2, 2, 25
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Player\Camera\tps_shot.cs", "C#", 114, 0, 0, 0, 27, 141
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Player\Camera\transition.cs", "C#", 4, 0, 0, 65, 0, 69
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Player\Input\player.cs", "C#", 54, 0, 0, 0, 16, 70
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Player\PlayerBios\play.cs", "C#", 66, 0, 0, 0, 20, 86
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Player\PlayerController\player_bow.cs", "C#", 50, 0, 0, 0, 12, 62
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Player\PlayerController\player_camera.cs", "C#", 5, 0, 0, 0, 1, 6
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Player\PlayerController\player_dash.cs", "C#", 90, 0, 0, 3, 21, 114
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Player\PlayerController\player_equip.cs", "C#", 75, 0, 0, 0, 14, 89
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Player\PlayerController\player_jump.cs", "C#", 57, 0, 0, 0, 16, 73
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Player\PlayerController\player_lateral.cs", "C#", 31, 0, 0, 0, 9, 40
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Player\PlayerController\player_move.cs", "C#", 33, 0, 0, 0, 9, 42
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Player\PlayerController\player_sword.cs", "C#", 113, 0, 0, 0, 22, 135
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Player\PlayerController\player_target.cs", "C#", 26, 0, 0, 0, 4, 30
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Player\main_actors.cs", "C#", 22, 0, 0, 0, 6, 28
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Player\scr_player.cs", "C#", 18, 0, 0, 4, 8, 30
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Skill\Dash\actor_speed.cs", "C#", 9, 0, 0, 0, 1, 10
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Skill\Dash\decoherence_blink.cs", "C#", 125, 0, 0, 63, 37, 225
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Skill\skill.cs", "C#", 33, 0, 0, 0, 9, 42
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Skin\AniExt.cs", "C#", 38, 0, 0, 6, 8, 52
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Skin\Anime\SkinFaceWriter.cs", "C#", 12, 0, 0, 0, 2, 14
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Skin\Anime\face_animation.cs", "C#", 27, 0, 0, 3, 7, 37
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Skin\Humanoid\SkinIK.cs", "C#", 49, 0, 0, 3, 11, 63
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Skin\Humanoid\foot_ik.cs", "C#", 98, 0, 0, 10, 24, 132
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Skin\Humanoid\hands.cs", "C#", 23, 0, 0, 0, 4, 27
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Skin\SkinWriter.cs", "C#", 24, 0, 0, 0, 5, 29
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Skin\SkinWriterModule.cs", "C#", 9, 0, 0, 0, 1, 10
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Skin\graphic.cs", "C#", 16, 0, 0, 0, 4, 20
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Skin\skin.cs", "C#", 340, 0, 0, 10, 66, 416
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Skin\skin_dir.cs", "C#", 33, 0, 0, 1, 7, 41
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Skin\skin_layer.cs", "C#", 69, 0, 0, 0, 15, 84
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Spectre\AfterImageAuthor.cs", "C#", 12, 0, 0, 0, 2, 14
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Spectre\AfterImage\DirectCaptureWriter.cs", "C#", 13, 0, 0, 0, 2, 15
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Spectre\AfterImage\after_image.cs", "C#", 94, 0, 0, 5, 26, 125
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Spectre\AfterImage\direct_capture.cs", "C#", 28, 0, 0, 2, 5, 35
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Spectre\IllusionAuthor.cs", "C#", 15, 0, 0, 0, 2, 17
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Spectre\StellarAuthor.cs", "C#", 14, 0, 0, 0, 2, 16
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Spectre\illusion.cs", "C#", 38, 0, 0, 0, 10, 48
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Spectre\nova.cs", "C#", 28, 0, 0, 0, 5, 33
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Spectre\spectre.cs", "C#", 9, 0, 0, 0, 1, 10
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Spectre\stellar.cs", "C#", 92, 0, 0, 4, 20, 116
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Spectre\supernova.cs", "C#", 0, 0, 0, 124, 0, 124
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Stat\QuarterHP.cs", "C#", 2, 0, 0, 94, 0, 96
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Stat\circuit\circuit.cs", "C#", 41, 0, 0, 0, 13, 54
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Stat\life\HumanStatAuthor.cs", "C#", 14, 0, 0, 0, 3, 17
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Stat\life\life.cs", "C#", 88, 0, 0, 35, 26, 149
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Stat\life\stamina.cs", "C#", 164, 0, 0, 6, 40, 210
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Stat\shielding\MechaMatterWriter.cs", "C#", 19, 0, 0, 0, 3, 22
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Stat\shielding\shielding.cs", "C#", 52, 0, 0, 0, 11, 63
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Stat\stat.cs", "C#", 4, 0, 0, 0, 1, 5
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Triheroes.Code.asmdef", "JSON", 0, 17, 0, 0, 0, 17
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\TriheroesMighty\Action\SpawnCharacterGroup.cs", "C#", 23, 0, 0, 0, 6, 29
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\TriheroesMighty\Action\WriteWriterGroup.cs", "C#", 0, 0, 0, 35, 1, 36
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\TriheroesMighty\Action\set_main_actors.cs", "C#", 16, 0, 0, 0, 4, 20
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\TriheroesMighty\Action\spawn_system_go.cs", "C#", 14, 0, 0, 0, 2, 16
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\TriheroesMighty\SceneInitWriter.cs", "C#", 11, 0, 0, 0, 2, 13
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\TriheroesMighty\TestGameLoader.cs", "C#", 12, 0, 0, 0, 3, 15
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\TriheroesMighty\TriheroesMighty.cs", "C#", 68, 0, 0, 0, 22, 90
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\TriheroesMighty\aeris.cs", "C#", 65, 0, 0, 1, 12, 78
